1,Bali,Kab. Badung,80351 - 80361,6,62
2,Bali,Kab. Bangli,80611 - 80671,4,72
3,Bali,Kab. Buleleng,81111 - 81173,9,148
4,Bali,Kota Denpasar,80111 - 80239,4,43
5,Bali,Kab. Gianyar,80511 - 80582,7,70
6,Bali,Kab. Jembrana,82211 - 82262,5,51
7,Bali,Kab. Karang Asem,80811 - 80871,8,78
8,Bali,Kab. Klungkung,80711 - 80771,4,59
9,Bali,Kab. Tabanan,82111 - 82191,10,133
1,Bangka Belitung,Kab. Bangka,33172 - 33253,8,77
2,Bangka Belitung,Kab. Bangka Barat,33311 - 33371,6,64
3,Bangka Belitung,Kab. Bangka Selatan,33777 - 33791,8,53
4,Bangka Belitung,Kab. Bangka Tengah,33674 - 33684,6,63
5,Bangka Belitung,Kab. Belitung,33411 - 33481,5,49
6,Bangka Belitung,Kab. Belitung Timur,33511 - 33571,7,39
7,Bangka Belitung,Kota Pangkal Pinang,33111 - 33141,7,42
1,Banten,Kota Cilegon,42411 - 42441,8,43
2,Banten,Kab. Lebak,42311 - 42396,28,345
3,Banten,Kab. Pandeglang,42211 - 42286,35,339
4,Banten,Kab. Serang,42161 - 42455,29,326
5,Banten,Kota Serang,42111 - 42191,6,66
6,Banten,Kab. Tangerang,15211 - 15820,29,274
7,Banten,Kota Tangerang,15111 - 15157,13,104
8,Banten,Kota Tangerang Selatan,15220 - 15415,7,54
1,Bengkulu,Kota Bengkulu,38113 - 38223,9,67
2,Bengkulu,Kab. Bengkulu Selatan,38511 - 38571,11,158
3,Bengkulu,Kab. Bengkulu Tengah,38371 - 38386,10,143
4,Bengkulu,Kab. Bengkulu Utara,38326 - 38657,17,220
5,Bengkulu,Kab. Kaur,38955 - 38965,15,195
6,Bengkulu,Kab. Kepahiang,39371 - 39374,8,117
7,Bengkulu,Kab. Lebong,39261 - 39269,12,104
8,Bengkulu,Kab. Mukomuko,38711 - 38768,15,151
9,Bengkulu,Kab. Rejang Lebong,39111 - 39183,15,156
10,Bengkulu,Kab. Seluma,38873 - 38888,14,202
1,DI Yogyakarta,Kab. Bantul,55181 - 55792,17,75
2,DI Yogyakarta,Kab. Gunung Kidul,55811 - 55893,18,144
3,DI Yogyakarta,Kab. Kulon Progo,55651 - 55674,12,88
4,DI Yogyakarta,Kab. Sleman,55264 - 55584,17,86
5,DI Yogyakarta,Kota Yogyakarta,55111 - 55271,14,45
1,DKI Jakarta,Kota Jakarta Barat,11110 - 11810,8,56
2,DKI Jakarta,Kota Jakarta Pusat,10110 - 10710,8,44
3,DKI Jakarta,Kota Jakarta Selatan,12110 - 12910,10,65
4,DKI Jakarta,Kota Jakarta Timur,13110 - 13910,10,65
5,DKI Jakarta,Kota Jakarta Utara,14110 - 14440,6,31
6,DKI Jakarta,Kab. Kepulauan Seribu,14510 - 14530,2,6
1,Gorontalo,Kab. Boalemo,96261 - 96265,7,82
2,Gorontalo,Kab. Bone Bolango,96582 - 96585,18,165
3,Gorontalo,Kab. Gorontalo,96123 - 96272,19,205
4,Gorontalo,Kota Gorontalo,96111 - 96135,9,50
5,Gorontalo,Kab. Gorontalo Utara,96252 - 96525,11,123
6,Gorontalo,Kab. Pohuwato,96265 - 96469,13,104
1,Jambi,Kab. Batang Hari,36611 - 36657,8,123
2,Jambi,Kab. Bungo,37211 - 37263,17,153
3,Jambi,Kota Jambi,36111 - 36261,8,62
4,Jambi,Kab. Kerinci,37152 - 37175,16,287
5,Jambi,Kab. Merangin,37311 - 37372,24,215
6,Jambi,Kab. Muaro Jambi,36361 - 36382,11,155
7,Jambi,Kab. Sarolangun,37382 - 37492,10,158
8,Jambi,Kota Sungai Penuh,37111 - 37171,8,69
9,Jambi,Kab. Tanjung Jabung Barat,36511 - 36555,13,134
10,Jambi,Kab. Tanjung Jabung Timur,36572 - 36773,11,93
11,Jambi,Kab. Tebo,37259 - 37573,12,112
1,Jawa Barat,Kab. Bandung,40191 - 40973,31,280
2,Jawa Barat,Kota Bandung,40111 - 40614,30,151
3,Jawa Barat,Kab. Bandung Barat,40391 - 40566,16,165
4,Jawa Barat,Kota Banjar,46311 - 46331,4,25
5,Jawa Barat,Kab. Bekasi,17211 - 17730,23,187
6,Jawa Barat,Kota Bekasi,17111 - 17432,12,56
7,Jawa Barat,Kab. Bogor,16110 - 16960,40,434
8,Jawa Barat,Kota Bogor,16111 - 16161,6,68
9,Jawa Barat,Kab. Ciamis,46211 - 46388,26,265
10,Jawa Barat,Kab. Cianjur,43215 - 43292,32,359
11,Jawa Barat,Kota Cimahi,40511 - 40531,3,15
12,Jawa Barat,Kab. Cirebon,45151 - 45652,40,424
13,Jawa Barat,Kota Cirebon,45111 - 45141,5,22
14,Jawa Barat,Kota Depok,16411 - 16512,11,63
15,Jawa Barat,Kab. Garut,44111 - 44193,42,442
16,Jawa Barat,Kab. Indramayu,45211 - 45365,31,317
17,Jawa Barat,Kab. Karawang,41311 - 41385,30,309
18,Jawa Barat,Kab. Kuningan,45511 - 45595,32,376
19,Jawa Barat,Kab. Majalengka,45411 - 45476,26,343
